model,noise_type,snr_train,snr_test,accuracy
noise-aware,dog_bark_foreground,18,12,0.9306748466257668
baseline,dog_bark_foreground,18,15,0.9390593047034764
noise-aware,dog_bark_foreground,18,15,0.9415132924335379
baseline,dog_bark_foreground,18,18,0.9445807770961145
noise-aware,dog_bark_foreground,18,18,0.9480572597137015
baseline,dog_bark_foreground,18,21,0.9468302658486708
noise-aware,dog_bark_foreground,18,21,0.9546012269938651
baseline,dog_bark_foreground,18,24,0.9501022494887525
noise-aware,dog_bark_foreground,18,24,0.9552147239263804
baseline,dog_bark_foreground,18,27,0.9519427402862985
noise-aware,dog_bark_foreground,18,27,0.9564417177914111
baseline,dog_bark_foreground,18,30,0.9533742331288344
noise-aware,dog_bark_foreground,18,30,0.9564417177914111
baseline,dog_bark_foreground,21,-3,0.8478527607361963
noise-aware,dog_bark_foreground,21,-3,0.8124744376278119
baseline,dog_bark_foreground,21,0,0.8732106339468303
noise-aware,dog_bark_foreground,21,0,0.8411042944785276
baseline,dog_bark_foreground,21,3,0.8985685071574642
noise-aware,dog_bark_foreground,21,3,0.870756646216769
baseline,dog_bark_foreground,21,6,0.9157464212678936
noise-aware,dog_bark_foreground,21,6,0.8922290388548058
baseline,dog_bark_foreground,21,9,0.9255623721881391
noise-aware,dog_bark_foreground,21,9,0.912883435582822
baseline,dog_bark_foreground,21,12,0.9349693251533743
noise-aware,dog_bark_foreground,21,12,0.9292433537832311
baseline,dog_bark_foreground,21,15,0.9415132924335379
noise-aware,dog_bark_foreground,21,15,0.9396728016359919
baseline,dog_bark_foreground,21,18,0.9443762781186094
noise-aware,dog_bark_foreground,21,18,0.9470347648261759
baseline,dog_bark_foreground,21,21,0.9480572597137015
noise-aware,dog_bark_foreground,21,21,0.9511247443762781
baseline,dog_bark_foreground,21,24,0.950920245398773
noise-aware,dog_bark_foreground,21,24,0.9548057259713701
baseline,dog_bark_foreground,21,27,0.9529652351738241
noise-aware,dog_bark_foreground,21,27,0.9572597137014315
baseline,dog_bark_foreground,21,30,0.9550102249488752
